index,parcels,plants,distance
1,5,1,50.7105
2,8,1,52.8821
3,12,1,50.7265
4,13,1,53.9648
5,14,1,54.0813
6,15,1,58.4046
7,16,1,58.0054
8,17,1,52.2536
9,18,1,51.2085
10,19,1,52.3926
11,20,1,53.3776
12,24,1,55.2021
13,25,1,56.1368
14,26,1,57.0563
15,27,1,54.0822
16,28,1,52.853
17,29,1,54.6291
18,30,1,54.5542
19,31,1,54.9794
20,33,1,51.0845
21,34,1,51.4056
22,35,1,49.779
23,36,1,56.5953
24,37,1,56.7224
25,38,1,57.2106
26,39,1,57.8817
27,40,1,55.1433
28,41,1,54.06
29,42,1,55.8432
30,43,1,56.0572
31,44,1,56.5452
32,45,1,54.293
33,46,1,53.4881
34,49,1,48.9382
35,50,1,49.6238
36,51,1,47.2524
37,52,1,57.4567
38,53,1,57.8776
39,54,1,58.4798
40,55,1,59.0006
41,56,1,60.0358
42,57,1,55.8758
43,58,1,57.458
44,59,1,57.5477
45,61,1,54.9096
46,65,1,50.2784
47,66,1,50.7362
48,69,1,45.7271
49,70,1,59.048
50,71,1,58.0281
51,72,1,59.6077
52,74,1,60.3732
53,75,1,57.2233
54,76,1,58.6336
55,77,1,58.4231
56,86,1,48.6662
57,88,1,50.3076
58,91,1,59.2342
59,92,1,58.0281
60,93,1,60.2408
61,94,1,60.2408
62,95,1,58.8227
63,96,1,58.4402
64,107,1,49.9174
65,108,1,50.0561
66,110,1,47.15
67,111,1,45.7742
68,112,1,44.6372
69,113,1,46.867
70,114,1,49.6214
71,115,1,65.0154
72,118,1,64.1389
73,119,1,64.1389
74,120,1,64.0091
75,121,1,62.1916
76,122,1,60.9594
77,124,1,61.9987
78,125,1,56.9081
79,126,1,56.4127
80,130,1,51.9425
81,131,1,52.223
82,132,1,51.7534
83,135,1,46.3855
84,136,1,45.5354
85,137,1,48.7327
86,138,1,48.4408
87,139,1,49.4458
88,146,1,64.1389
89,147,1,63.8468
90,148,1,62.7564
91,149,1,62.5608
92,150,1,62.8568
93,154,1,57.2662
94,156,1,55.9059
95,161,1,48.812
96,163,1,46.6738
97,164,1,47.3223
98,166,1,49.4001
99,167,1,50.0746
100,168,1,38.3919
101,169,1,37.7127
102,176,1,63.8828
103,177,1,64.3094
104,178,1,64.1897
105,179,1,63.7354
106,184,1,57.5784
107,190,1,53.3291
108,191,1,49.6246
109,192,1,48.5418
110,193,1,47.7589
111,194,1,49.2093
112,195,1,51.9635
113,196,1,52.0459
114,199,1,42.9543
115,203,1,34.6889
116,204,1,34.0351
117,215,1,60.114
118,219,1,62.315
119,220,1,62.2122
120,224,1,50.1024
121,225,1,49.1562
122,226,1,48.8916
123,227,1,50.2043
124,228,1,50.9624
125,230,1,46.1126
126,231,1,46.2388
127,233,1,42.176
128,235,1,39.9645
129,236,1,36.294
130,238,1,32.2857
131,239,1,31.28
132,240,1,31.8876
133,241,1,76.8745
134,249,1,61.8914
135,250,1,61.8914
136,251,1,61.1623
137,253,1,59.8719
138,254,1,60.7822
139,255,1,61.6396
140,257,1,56.1902
141,259,1,53.9726
142,260,1,51.0626
143,261,1,50.4649
144,262,1,50.0069
145,263,1,50.5761
146,264,1,52.3416
147,266,1,45.182
148,267,1,44.5917
149,268,1,42.7556
150,269,1,40.5172
151,270,1,39.883
152,271,1,38.8086
153,273,1,37.023
154,274,1,37.8696
155,275,1,38.9284
156,276,1,31.2676
157,277,1,31.1321
158,278,1,29.8477
159,279,1,35.278
160,280,1,77.4102
161,281,1,78.5307
162,285,1,71.744
163,289,1,64.6338
164,290,1,62.3201
165,291,1,62.0613
166,292,1,60.9886
167,293,1,63.7854
168,294,1,63.4098
169,295,1,63.6598
170,296,1,55.6298
171,297,1,55.3492
172,298,1,56.6006
173,302,1,54.2255
174,303,1,53.731
175,304,1,53.9507
176,305,1,44.259
177,306,1,43.8035
178,307,1,42.6849
179,308,1,41.5166
180,309,1,41.2779
181,310,1,41.212
182,311,1,38.5365
183,312,1,36.9169
184,313,1,35.4516
185,314,1,34.3162
186,315,1,33.057
187,316,1,32.8617
188,317,1,30.9916
189,318,1,32.4165
190,319,1,33.2197
191,321,1,79.7546
192,322,1,80.3104
193,324,1,82.4202
194,325,1,83.3952
195,326,1,71.744
196,329,1,67.4007
197,330,1,64.6338
198,332,1,62.1747
199,333,1,63.9002
200,334,1,66.864
201,336,1,61.2763
202,337,1,56.4374
203,338,1,56.0456
204,339,1,54.4994
205,340,1,52.9135
206,342,1,56.5779
207,343,1,57.1699
208,344,1,46.8487
209,345,1,45.7333
210,347,1,50.5945
211,348,1,49.168
212,349,1,41.1977
213,350,1,40.0592
214,351,1,39.317
215,352,1,39.6574
216,353,1,35.5296
217,355,1,33.4324
218,356,1,32.8828
219,357,1,32.0823
220,358,1,33.3508
221,359,1,33.8129
222,360,1,35.6346
223,361,1,79.2339
224,362,1,80.2086
225,363,1,81.1394
226,364,1,81.628
227,365,1,82.4897
228,366,1,83.7283
229,367,1,70.8162
230,368,1,71.0622
231,369,1,68.2101
232,370,1,66.8926
233,371,1,66.0341
234,372,1,63.9206
235,373,1,63.1272
236,374,1,65.5526
237,375,1,64.692
238,376,1,64.3431
239,377,1,61.2653
240,378,1,59.3959
241,379,1,56.2156
242,380,1,55.7244
243,381,1,53.6312
244,382,1,53.7899
245,383,1,55.6186
246,384,1,57.2283
247,385,1,51.6447
248,386,1,50.2529
249,387,1,49.8064
250,388,1,50.2671
251,389,1,47.909
252,390,1,46.9078
253,391,1,44.3925
254,392,1,43.894
255,394,1,42.4762
256,395,1,35.0907
257,396,1,34.8712
258,398,1,33.2029
259,399,1,36.3209
260,400,1,37.294
261,401,1,37.4455
262,402,1,38.8013
263,403,1,84.2674
264,404,1,81.3165
265,405,1,85.8731
266,406,1,84.2014
267,408,1,84.214
268,409,1,70.4103
269,410,1,69.256
270,411,1,68.7627
271,412,1,67.1319
272,413,1,65.5419
273,414,1,64.563
274,415,1,64.5345
275,416,1,64.9712
276,418,1,63.2919
277,419,1,62.5526
278,420,1,61.7904
279,421,1,58.3824
280,422,1,57.1566
281,423,1,55.1278
282,424,1,54.5427
283,425,1,55.2654
284,426,1,52.8295
285,427,1,51.6856
286,428,1,50.8866
287,429,1,48.1945
288,430,1,47.32
289,432,1,45.5175
290,433,1,45.0347
291,434,1,42.4022
292,435,1,41.3437
293,436,1,42.4762
294,437,1,36.9491
295,438,1,35.7681
296,439,1,35.5933
297,440,1,34.317
298,441,1,35.867
299,442,1,38.5327
300,443,1,38.2352
301,444,1,38.0484
302,445,1,38.4254
303,447,1,84.5228
304,448,1,85.5344
305,449,1,88.5754
306,450,1,89.4637
307,451,1,89.356
308,452,1,70.6142
309,453,1,69.9722
310,454,1,68.808
311,456,1,66.0549
312,457,1,67.2773
313,458,1,69.3056
314,459,1,65.8105
315,460,1,65.336
316,461,1,64.0351
317,462,1,62.3604
318,463,1,61.0531
319,464,1,60.2119
320,465,1,58.0208
321,466,1,56.9675
322,467,1,55.7609
323,468,1,56.3683
324,469,1,52.2322
325,470,1,51.5966
326,471,1,49.0169
327,472,1,48.2609
328,473,1,48.8805
329,474,1,46.0047
330,475,1,44.9877
331,476,1,43.978
332,477,1,43.0299
333,479,1,42.6261
334,480,1,41.5792
335,481,1,42.7989
336,482,1,36.2554
337,483,1,35.4294
338,484,1,37.1351
339,485,1,37.761
340,486,1,38.691
341,487,1,39.3106
342,488,1,41.0862
343,490,1,82.2741
344,491,1,84.6411
345,492,1,86.8665
346,493,1,87.0792
347,494,1,88.0532
348,495,1,89.0172
349,496,1,70.723
350,497,1,70.2496
351,498,1,91.7074
352,499,1,67.3015
353,500,1,67.3015
354,502,1,69.064
355,503,1,68.0304
356,504,1,66.7266
357,505,1,64.0995
358,506,1,63.7044
359,507,1,64.213
360,508,1,60.0898
361,509,1,58.8168
362,510,1,58.3899
363,511,1,56.7579
364,512,1,57.5115
365,513,1,53.0171
366,514,1,50.6041
367,515,1,49.6258
368,516,1,49.3121
369,517,1,51.748
370,518,1,46.7494
371,519,1,45.907
372,520,1,45.5608
373,521,1,44.0988
374,522,1,43.5884
375,523,1,44.8362
376,524,1,45.367
377,525,1,39.4092
378,526,1,38.6645
379,528,1,38.2776
380,529,1,38.2316
381,530,1,41.0212
382,531,1,41.0402
383,532,1,41.0792
384,533,1,43.3778
385,534,1,43.6221
386,535,1,82.8914
387,536,1,83.7854
388,537,1,85.6341
389,538,1,86.2983
390,539,1,88.6449
391,540,1,89.2559
392,542,1,90.9037
393,543,1,73.3116
394,544,1,72.565
395,545,1,70.2476
396,546,1,69.7025
397,547,1,68.3453
398,548,1,66.957
399,549,1,66.2527
400,550,1,64.7749
401,552,1,62.3894
402,553,1,61.0623
403,554,1,59.6116
404,555,1,58.5026
405,556,1,58.0318
406,557,1,58.8644
407,558,1,52.3869
408,559,1,52.1486
409,560,1,50.6865
410,561,1,51.0103
411,562,1,51.2505
412,563,1,47.6432
413,564,1,49.5325
414,565,1,48.1758
415,566,1,46.0033
416,567,1,44.6127
417,568,1,45.2013
418,569,1,45.2961
419,570,1,39.6506
420,571,1,38.1621
421,572,1,37.6762
422,573,1,38.7489
423,574,1,39.9073
424,575,1,39.7663
425,576,1,40.5106
426,579,1,53.9059
427,580,1,44.8603
428,581,1,81.9108
429,582,1,84.1952
430,583,1,84.6977
431,584,1,86.1765
432,585,1,89.3767
433,587,1,89.754
434,588,1,92.0872
435,589,1,74.2469
436,590,1,74.2686
437,592,1,70.6726
438,593,1,68.9789
439,594,1,69.5402
440,595,1,66.2259
441,596,1,66.3674
442,597,1,63.7735
443,598,1,62.3759
444,599,1,61.1597
445,600,1,59.8827
446,601,1,60.5652
447,602,1,59.4674
448,603,1,59.3484
449,606,1,60.1498
450,607,1,59.6062
451,608,1,52.1997
452,609,1,48.5661
453,610,1,47.6033
454,611,1,46.6869
455,612,1,43.1424
456,613,1,41.9972
457,614,1,41.0571
458,616,1,38.8053
459,617,1,48.0127
460,618,1,40.0047
461,619,1,40.86
462,620,1,40.9842
463,621,1,42.1712
464,622,1,42.1712
465,623,1,43.5266
466,624,1,52.7875
467,625,1,53.92
468,626,1,54.4979
469,627,1,82.0921
470,628,1,83.2177
471,629,1,83.8588
472,630,1,88.227
473,631,1,88.1835
474,632,1,88.3124
475,633,1,89.2327
476,634,1,75.5224
477,635,1,74.6149
478,636,1,72.7984
479,637,1,72.145
480,638,1,70.609
481,640,1,68.3004
482,641,1,67.1861
483,642,1,67.8445
484,643,1,68.3824
485,644,1,61.7307
486,645,1,61.5724
487,646,1,60.9481
488,647,1,61.6482
489,648,1,61.5377
490,649,1,60.4123
491,650,1,61.2947
492,651,1,61.6879
493,652,1,59.4285
494,654,1,53.2446
495,655,1,58.3155
496,656,1,49.6155
497,657,1,58.3376
498,658,1,47.1145
499,659,1,47.0174
500,660,1,42.6595
501,661,1,41.102
502,662,1,40.6252
503,664,1,46.8243
504,665,1,41.1159
505,666,1,42.4921
506,667,1,50.4322
507,668,1,49.595
508,669,1,50.9723
509,670,1,50.6289
510,671,1,51.6761
511,672,1,52.2444
512,673,1,53.1346
513,674,1,53.7111
514,675,1,83.7932
515,676,1,84.202
516,677,1,84.5546
517,678,1,85.1748
518,679,1,86.8565
519,680,1,88.5881
520,681,1,89.6871
521,682,1,90.8019
522,683,1,75.4512
523,684,1,72.4206
524,685,1,79.6771
525,686,1,80.233
526,687,1,81.5813
527,688,1,68.648
528,689,1,68.7314
529,690,1,67.4048
530,691,1,67.8768
531,692,1,62.7758
532,693,1,62.7167
533,694,1,62.1264
534,696,1,62.0531
535,697,1,61.5671
536,699,1,60.9593
537,700,1,61.1192
538,701,1,58.4432
539,702,1,56.9482
540,703,1,56.0586
541,704,1,56.8961
542,705,1,57.9104
543,706,1,44.555
544,709,1,48.1308
545,710,1,49.0648
546,711,1,47.3068
547,712,1,45.73
548,713,1,46.9753
549,714,1,47.6505
550,715,1,47.6505
551,717,1,49.1264
552,718,1,50.0159
553,719,1,50.9043
554,720,1,51.7962
555,721,1,54.6068
556,722,1,54.791
557,723,1,54.7859
558,725,1,85.6407
559,726,1,85.9243
560,727,1,85.7306
561,728,1,86.9783
562,729,1,87.4144
563,730,1,88.897
564,731,1,80.4623
565,732,1,80.6411
566,733,1,78.2821
567,734,1,78.6952
568,735,1,80.1309
569,736,1,81.7121
570,737,1,77.1662
571,738,1,69.1504
572,739,1,66.3612
573,740,1,65.3827
574,741,1,63.7457
575,742,1,66.8312
576,743,1,66.8443
577,744,1,63.5819
578,745,1,63.147
579,747,1,62.9974
580,748,1,64.4265
581,749,1,59.8049
582,750,1,59.493
583,751,1,56.2256
584,752,1,55.2522
585,753,1,54.7949
586,754,1,54.0151
587,755,1,44.7644
588,756,1,44.0385
589,757,1,43.6139
590,758,1,47.1498
591,759,1,49.0215
592,760,1,45.9157
593,761,1,44.6072
594,762,1,46.5486
595,763,1,46.3104
596,764,1,46.9662
597,765,1,47.8917
598,766,1,48.9083
599,767,1,51.0215
600,768,1,51.8844
601,769,1,53.4687
602,770,1,55.6994
603,771,1,55.8832
604,772,1,55.7545
605,773,1,56.2233
606,774,1,87.4046
607,775,1,87.5581
608,776,1,87.4063
609,777,1,88.6558
610,778,1,87.7883
611,779,1,87.9648
612,780,1,79.5224
613,781,1,78.6388
614,782,1,78.0457
615,783,1,77.7469
616,784,1,77.7257
617,785,1,79.7104
618,786,1,75.6216
619,787,1,74.5419
620,788,1,73.8995
621,789,1,66.8321
622,790,1,65.1913
623,791,1,65.1756
624,792,1,66.023
625,793,1,65.6916
626,794,1,64.7747
627,795,1,63.8578
628,796,1,63.0774
629,798,1,64.7285
630,799,1,60.8585
631,800,1,61.5659
632,801,1,57.2672
633,802,1,54.5258
634,803,1,53.8015
635,804,1,53.726
636,805,1,45.6302
637,807,1,45.5313
638,808,1,46.6135
639,809,1,46.289
640,810,1,46.5462
641,811,1,43.4914
642,812,1,44.6639
643,814,1,49.6821
644,815,1,49.638
645,817,1,52.4835
646,818,1,53.0622
647,819,1,55.8728
648,820,1,56.4117
649,821,1,56.9776
650,823,1,57.263
651,824,1,57.9149
652,825,1,88.5645
653,826,1,87.7572
654,827,1,90.1021
655,828,1,90.0843
656,829,1,91.8804
657,830,1,91.988
658,831,1,80.6389
659,832,1,80.6389
660,833,1,77.4193
661,835,1,75.5258
662,836,1,74.6076
663,837,1,74.0452
664,838,1,74.367
665,839,1,73.0625
666,840,1,72.1897
667,841,1,72.6169
668,842,1,66.3678
669,844,1,64.7573
670,845,1,63.9898
671,846,1,64.2467
672,847,1,63.8668
673,848,1,62.3726
674,849,1,60.8481
675,850,1,61.1736
676,851,1,62.7756
677,852,1,55.4669
678,853,1,53.7918
679,854,1,53.2422
680,855,1,52.3857
681,856,1,51.352
682,857,1,50.8597
683,858,1,45.9061
684,859,1,46.956
685,860,1,46.241
686,861,1,44.8284
687,862,1,44.3225
688,863,1,45.5996
689,864,1,47.2669
690,865,1,48.5879
691,866,1,49.3079
692,867,1,52.9242
693,868,1,53.8009
694,869,1,54.7849
695,870,1,54.9628
696,871,1,55.8573
697,872,1,59.0402
698,873,1,59.703
699,874,1,59.0775
700,875,1,58.6704
701,876,1,59.5119
702,877,1,89.5286
703,878,1,90.4498
704,879,1,90.4498
705,880,1,92.0463
706,881,1,91.7629
707,882,1,84.9612
708,883,1,80.433
709,884,1,79.7769
710,885,1,78.389
711,886,1,78.2374
712,887,1,75.2178
713,889,1,73.2936
714,890,1,72.3869
715,891,1,71.4846
716,892,1,71.1916
717,893,1,72.5064
718,894,1,70.0824
719,895,1,70.6774
720,896,1,68.4458
721,897,1,63.2041
722,898,1,61.8482
723,899,1,60.9264
724,901,1,59.8002
725,902,1,58.1225
726,903,1,57.9126
727,904,1,57.6929
728,905,1,54.2883
729,907,1,51.7755
730,909,1,48.1632
731,910,1,47.6173
732,911,1,46.7353
733,912,1,47.6353
734,913,1,48.8703
735,914,1,46.7916
736,915,1,48.3887
737,916,1,49.5156
738,917,1,50.3675
739,918,1,51.3408
740,919,1,54.9343
741,920,1,54.9464
742,921,1,55.3403
743,922,1,58.129
744,923,1,58.3482
745,924,1,59.3766
746,925,1,60.6705
747,926,1,62.1614
748,927,1,60.147
749,928,1,94.3264
750,929,1,94.3264
751,930,1,90.4498
752,931,1,92.0974
753,932,1,92.7567
754,934,1,84.1993
755,935,1,79.8435
756,936,1,79.4312
757,938,1,76.929
758,940,1,75.3227
759,941,1,72.5777
760,942,1,71.8508
761,943,1,70.3032
762,944,1,69.2675
763,945,1,68.3535
764,946,1,67.6055
765,947,1,67.3969
766,948,1,61.5826
767,949,1,61.1052
768,950,1,61.4844
769,951,1,60.8947
770,952,1,58.6862
771,953,1,57.4356
772,954,1,57.1529
773,955,1,56.6455
774,956,1,55.5962
775,957,1,52.5779
776,961,1,49.241
777,962,1,48.7684
778,963,1,53.3822
779,965,1,49.2152
780,967,1,48.9962
781,968,1,49.5652
782,969,1,55.25
783,970,1,55.9442
784,971,1,56.5419
785,972,1,56.2769
786,973,1,56.5129
787,974,1,59.4031
788,975,1,59.4492
789,976,1,61.0799
790,977,1,60.8525
791,978,1,63.5089
792,979,1,63.8767
793,980,1,61.6232
794,981,1,93.7641
795,984,1,85.3714
796,985,1,84.2295
797,988,1,80.8141
798,989,1,80.337
799,990,1,78.7679
800,991,1,76.929
801,992,1,75.9671
802,993,1,74.5572
803,994,1,73.5651
804,997,1,70.0286
805,999,1,67.0417
806,1000,1,66.144
807,1001,1,65.2531
808,1004,1,59.4674
809,1005,1,58.3074
810,1006,1,56.8512
811,1007,1,55.8957
812,1008,1,54.9238
813,1009,1,54.5228
814,1010,1,52.9746
815,1012,1,51.2235
816,1013,1,50.9898
817,1014,1,52.5802
818,1015,1,53.4319
819,1016,1,51.966
820,1017,1,51.0072
821,1018,1,51.1198
822,1019,1,52.9597
823,1020,1,53.2055
824,1021,1,53.9494
825,1022,1,54.4741
826,1023,1,57.3566
827,1024,1,57.3652
828,1025,1,57.1652
829,1026,1,57.5318
830,1027,1,58.5076
831,1028,1,60.3852
832,1029,1,62.9911
833,1030,1,63.6203
834,1031,1,62.4149
835,1032,1,63.5262
836,1033,1,63.5262
837,1034,1,62.0109
838,1035,1,89.5319
839,1036,1,88.8305
840,1037,1,88.1646
841,1039,1,84.8776
842,1040,1,84.0297
843,1041,1,82.2605
844,1044,1,79.003
845,1046,1,75.964
846,1050,1,74.1528
847,1051,1,70.1957
848,1052,1,70.1957
849,1053,1,68.1131
850,1054,1,68.3799
851,1055,1,64.7446
852,1056,1,63.8741
853,1057,1,62.9957
854,1058,1,62.1518
855,1059,1,59.6357
856,1060,1,57.5408
857,1061,1,57.5431
858,1062,1,56.4305
859,1063,1,55.0722
860,1065,1,52.7898
861,1066,1,53.7195
862,1067,1,51.7858
863,1068,1,52.7795
864,1069,1,52.5376
865,1070,1,50.8533
866,1071,1,49.9101
867,1073,1,51.6112
868,1074,1,52.013
869,1075,1,53.1073
870,1076,1,53.9879
871,1077,1,58.473
872,1078,1,58.9337
873,1079,1,58.9712
874,1080,1,59.8886
875,1082,1,65.0442
876,1083,1,64.4181
877,1084,1,63.8778
878,1085,1,63.7561
879,1087,1,64.7383
880,1088,1,63.5237
881,1089,1,60.7403
882,1090,1,88.7325
883,1091,1,88.0452
884,1093,1,86.3093
885,1094,1,86.2745
886,1095,1,83.7261
887,1096,1,83.2598
888,1097,1,83.9932
889,1098,1,84.4808
890,1099,1,78.8738
891,1100,1,77.9948
892,1101,1,76.751
893,1102,1,75.7156
894,1103,1,75.7012
895,1104,1,76.7209
896,1105,1,77.2818
897,1106,1,69.9118
898,1107,1,69.8685
899,1108,1,69.1566
900,1109,1,68.816
901,1110,1,64.2447
902,1111,1,63.3697
903,1112,1,62.5056
904,1113,1,61.6365
905,1116,1,59.2219
906,1117,1,55.6832
907,1118,1,54.9144
908,1119,1,54.4954
909,1120,1,56.8688
910,1121,1,54.7697
911,1122,1,53.8548
912,1123,1,53.5083
913,1124,1,52.4744
914,1126,1,50.0173
915,1127,1,52.3978
916,1128,1,52.1285
917,1129,1,52.5359
918,1130,1,57.6922
919,1131,1,60.4974
920,1132,1,60.1282
921,1133,1,61.8437
922,1134,1,62.652
923,1135,1,60.8886
924,1136,1,61.4103
925,1137,1,66.4735
926,1139,1,67.0503
927,1140,1,64.954
928,1141,1,65.0241
929,1142,1,62.4367
930,1143,1,61.3083
931,1144,1,60.5021
932,1145,1,90.4324
933,1146,1,87.9274
934,1147,1,86.7368
935,1148,1,85.6598
936,1149,1,85.6948
937,1150,1,84.7208
938,1151,1,84.352
939,1152,1,84.6007
940,1154,1,79.9569
941,1155,1,79.0016
942,1156,1,76.8781
943,1157,1,76.895
944,1158,1,74.8938
945,1159,1,77.3986
946,1160,1,72.229
947,1161,1,72.229
948,1162,1,66.8401
949,1163,1,66.8343
950,1164,1,64.5766
951,1165,1,63.603
952,1166,1,62.8005
953,1167,1,62.7045
954,1168,1,61.8603
955,1169,1,60.1437
956,1172,1,56.3638
957,1173,1,56.6742
958,1174,1,57.6471
959,1175,1,55.1568
960,1177,1,57.6949
961,1178,1,56.722
962,1179,1,56.1576
963,1180,1,55.1738
964,1182,1,51.1273
965,1183,1,55.0142
966,1184,1,55.8064
967,1185,1,56.6777
968,1186,1,57.4814
969,1187,1,58.6928
970,1188,1,59.6647
971,1189,1,60.7088
972,1190,1,61.6828
973,1191,1,62.9479
974,1192,1,64.5397
975,1193,1,66.7915
976,1194,1,66.4875
977,1195,1,77.221
978,1196,1,76.5935
979,1197,1,63.8678
980,1198,1,62.7578
981,1199,1,62.4807
982,1200,1,62.6562
983,1201,1,81.9428
984,1202,1,89.6345
985,1203,1,88.5676
986,1205,1,85.7622
987,1206,1,84.5734
988,1207,1,83.4621
989,1208,1,83.6071
990,1209,1,84.9174
991,1210,1,81.9058
992,1211,1,80.2314
993,1212,1,79.288
994,1213,1,78.3439
995,1214,1,78.0197
996,1215,1,74.2375
997,1216,1,73.2638
998,1217,1,72.2987
999,1218,1,67.5175
1000,1219,1,66.5393
1001,1220,1,73
1002,1221,1,64.5959
1003,1222,1,63.6223
1004,1223,1,63.0231
1005,1224,1,61.6061
1006,1225,1,60.6336
1007,1226,1,59.767
1008,1229,1,58.9353
1009,1230,1,60.1868
1010,1231,1,57.4051
1011,1232,1,56.4357
1012,1233,1,55.2439
1013,1234,1,58.9213
1014,1235,1,57.955
1015,1236,1,57.0464
1016,1237,1,54.0835
1017,1239,1,52.7557
1018,1240,1,53.9102
1019,1241,1,54.708
1020,1242,1,55.6792
1021,1243,1,56.8003
1022,1244,1,59.8346
1023,1245,1,60.1487
1024,1246,1,61.3303
1025,1247,1,62.3005
1026,1248,1,64.1234
1027,1250,1,66.123
1028,1251,1,66.6951
1029,1252,1,76.3704
1030,1253,1,75.7432
1031,1254,1,75.64
1032,1255,1,63.7332
1033,1256,1,63.0479
1034,1257,1,80.4808
1035,1258,1,81.1413
1036,1259,1,81.3125
1037,1260,1,98.5259
1038,1261,1,89.0735
1039,1262,1,86.8582
1040,1263,1,86.3989
1041,1265,1,82.4832
1042,1266,1,82.2192
1043,1267,1,81.0868
1044,1269,1,80.7115
1045,1270,1,80.3872
1046,1271,1,80.3872
1047,1272,1,73.0218
1048,1273,1,73.0218
1049,1274,1,74.043
1050,1275,1,70.6278
1051,1276,1,70.9122
1052,1277,1,71.1932
1053,1278,1,72.0885
1054,1279,1,65.1102
1055,1280,1,64.1003
1056,1281,1,63.8369
1057,1282,1,61.715
1058,1284,1,60.0469
1059,1286,1,59.6812
1060,1287,1,59.773
1061,1288,1,61.0342
1062,1289,1,57.7102
1063,1290,1,56.7242
1064,1291,1,56.5091
1065,1292,1,58.9189
1066,1293,1,58.704
1067,1295,1,56.5844
1068,1296,1,54.524
1069,1297,1,53.4758
1070,1298,1,54.5469
1071,1299,1,55.5186
1072,1300,1,56.497
1073,1301,1,57.4899
1074,1302,1,58.311
1075,1303,1,59.6469
1076,1304,1,60.8742
1077,1305,1,64.2881
1078,1306,1,65.368
1079,1307,1,65.1589
1080,1308,1,66.3184
1081,1309,1,75.5201
1082,1310,1,74.8968
1083,1312,1,74.7694
1084,1313,1,78.3991
1085,1314,1,79.0093
1086,1315,1,80.2765
1087,1316,1,81.1775
1088,1317,1,81.1775
1089,1318,1,98.5259
1090,1319,1,84.4749
1091,1320,1,84.4749
1092,1321,1,84.4749
1093,1323,1,81.4
1094,1324,1,81.1505
1095,1325,1,80.9012
1096,1326,1,79.7558
1097,1327,1,79.8592
1098,1328,1,79.8592
1099,1329,1,73.1524
